Checking download URLs
The following files will be downloaded: 

run_accession study_accession experiment_accession public_url                                                                                                  download_url                                                                                            out_dir                                                                                  filesize
SRR18511725   SRP366403       SRX14642904          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18511/SRR18511725/SRR18511725.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511725/SRR18511725.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 24.7 GB 
SRR18511726   SRP366403       SRX14642905                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511726/SRR18511726 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511726/SRR18511726.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 17.2 GB 
SRR18511727   SRP366403       SRX14642906                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511727/SRR18511727 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511727/SRR18511727.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 50.8 GB 
SRR18511728   SRP366403       SRX14642907          https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18511/SRR18511728/SRR18511728.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511728/SRR18511728.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 13.2 GB 
SRR18511729   SRP366403       SRX14642908                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR18511729/SRR18511729 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR185/SRR18511729/SRR18511729.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 35.3 GB 
SRR21518362   SRP366403       SRX17520825           https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21518/SRR21518362/SRR21518362.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR215/SRR21518362/SRR21518362.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 12.6 GB 
SRR21518363   SRP366403       SRX17520826           https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21518/SRR21518363/SRR21518363.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR215/SRR21518363/SRR21518363.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 20.1 GB 
SRR21518364   SRP366403       SRX17520827                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21518364/SRR21518364 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR215/SRR21518364/SRR21518364.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23  8.6 GB 
SRR21518365   SRP366403       SRX17520827                                                 https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21518365/SRR21518365 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR215/SRR21518365/SRR21518365.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23  5.3 GB 
SRR21518366   SRP366403       SRX17520828           https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21518/SRR21518366/SRR21518366.lite.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR215/SRR21518366/SRR21518366.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 24.5 GB 
SRR23854914   SRP366403       SRX19667602              https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23854/SRR23854914/SRR23854914.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR238/SRR23854914/SRR23854914.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 15.3 GB 
SRR23854915   SRP366403       SRX19667603              https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23854/SRR23854915/SRR23854915.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR238/SRR23854915/SRR23854915.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 40.7 GB 
SRR23854916   SRP366403       SRX19667604              https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23854/SRR23854916/SRR23854916.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR238/SRR23854916/SRR23854916.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 10.4 GB 
SRR23854917   SRP366403       SRX19667605              https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23854/SRR23854917/SRR23854917.1 ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR238/SRR23854917/SRR23854917.sra /cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23 37.2 GB 


Total size: 776.2 GB


