file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX14642908/SRR18511729_2.fastq.gz	FASTQ	DNA	609071041	91360656150	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520825/SRR21518362_1.fastq.gz	FASTQ	DNA	416198619	20809930950	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520825/SRR21518362_2.fastq.gz	FASTQ	DNA	416198619	6659177904	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520825/SRR21518362_3.fastq.gz	FASTQ	DNA	416198619	20809930950	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520826/SRR21518363_1.fastq.gz	FASTQ	DNA	441551364	12363438192	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520826/SRR21518363_2.fastq.gz	FASTQ	DNA	441551364	66232704600	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520827/SRR21518365_1.fastq.gz	FASTQ	DNA	142335331	7116766550	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520827/SRR21518365_2.fastq.gz	FASTQ	DNA	142335331	2277365296	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520827/SRR21518365_3.fastq.gz	FASTQ	DNA	142335331	7116766550	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520828/SRR21518366_1.fastq.gz	FASTQ	DNA	539874973	15116499244	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX17520828/SRR21518366_2.fastq.gz	FASTQ	DNA	539874973	80981245950	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667602/SRR23854914_1.fastq.gz	FASTQ	DNA	397389371	19869468550	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667602/SRR23854914_2.fastq.gz	FASTQ	DNA	397389371	6358229936	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667602/SRR23854914_3.fastq.gz	FASTQ	DNA	397389371	19869468550	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667603/SRR23854915_1.fastq.gz	FASTQ	DNA	686166442	19212660376	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667603/SRR23854915_2.fastq.gz	FASTQ	DNA	686166442	102924966300	150	150.0	150
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667604/SRR23854916_1.fastq.gz	FASTQ	DNA	257061146	12853057300	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667604/SRR23854916_2.fastq.gz	FASTQ	DNA	257061146	4112978336	16	16.0	16
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667604/SRR23854916_3.fastq.gz	FASTQ	DNA	257061146	12853057300	50	50.0	50
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667605/SRR23854917_1.fastq.gz	FASTQ	DNA	610834403	17103363284	28	28.0	28
/cellar/users/aklie/data/datasets/Augsornworawat2023_sc-islet_10X-Multiome/fastq/07Nov23/SRP366403/SRX19667605/SRR23854917_2.fastq.gz	FASTQ	DNA	610834403	91625160450	150	150.0	150
